Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Polar 2,OTHER_INDOOR,31-10-2024,19:44:36,00:10:18,,142,,,,,98,,,,,,,,,,,180.0,70.0,196,55,47,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,77,,,,,,,,,
,00:00:02,77,,,,,,,,,
,00:00:03,77,,,,,,,,,
,00:00:04,77,,,,,,,,,
,00:00:05,77,,,,,,,,,
,00:00:06,77,,,,,,,,,
,00:00:07,77,,,,,,,,,
,00:00:08,78,,,,,,,,,
,00:00:09,78,,,,,,,,,
,00:00:10,78,,,,,,,,,
,00:00:11,78,,,,,,,,,
,00:00:12,78,,,,,,,,,
,00:00:13,78,,,,,,,,,
,00:00:14,78,,,,,,,,,
,00:00:15,78,,,,,,,,,
,00:00:16,79,,,,,,,,,
,00:00:17,79,,,,,,,,,
,00:00:18,79,,,,,,,,,
,00:00:19,80,,,,,,,,,
,00:00:20,80,,,,,,,,,
,00:00:21,81,,,,,,,,,
,00:00:22,81,,,,,,,,,
,00:00:23,82,,,,,,,,,
,00:00:24,83,,,,,,,,,
,00:00:25,85,,,,,,,,,
,00:00:26,86,,,,,,,,,
,00:00:27,86,,,,,,,,,
,00:00:28,87,,,,,,,,,
,00:00:29,87,,,,,,,,,
,00:00:30,88,,,,,,,,,
,00:00:31,89,,,,,,,,,
,00:00:32,90,,,,,,,,,
,00:00:33,90,,,,,,,,,
,00:00:34,90,,,,,,,,,
,00:00:35,90,,,,,,,,,
,00:00:36,90,,,,,,,,,
,00:00:37,90,,,,,,,,,
,00:00:38,90,,,,,,,,,
,00:00:39,90,,,,,,,,,
,00:00:40,90,,,,,,,,,
,00:00:41,90,,,,,,,,,
,00:00:42,91,,,,,,,,,
,00:00:43,91,,,,,,,,,
,00:00:44,92,,,,,,,,,
,00:00:45,92,,,,,,,,,
,00:00:46,93,,,,,,,,,
,00:00:47,93,,,,,,,,,
,00:00:48,94,,,,,,,,,
,00:00:49,94,,,,,,,,,
,00:00:50,95,,,,,,,,,
,00:00:51,96,,,,,,,,,
,00:00:52,97,,,,,,,,,
,00:00:53,98,,,,,,,,,
,00:00:54,98,,,,,,,,,
,00:00:55,98,,,,,,,,,
,00:00:56,98,,,,,,,,,
,00:00:57,97,,,,,,,,,
,00:00:58,96,,,,,,,,,
,00:00:59,97,,,,,,,,,
,00:01:00,98,,,,,,,,,
,00:01:01,98,,,,,,,,,
,00:01:02,98,,,,,,,,,
,00:01:03,99,,,,,,,,,
,00:01:04,99,,,,,,,,,
,00:01:05,100,,,,,,,,,
,00:01:06,99,,,,,,,,,
,00:01:07,99,,,,,,,,,
,00:01:08,100,,,,,,,,,
,00:01:09,100,,,,,,,,,
,00:01:10,101,,,,,,,,,
,00:01:11,101,,,,,,,,,
,00:01:12,100,,,,,,,,,
,00:01:13,100,,,,,,,,,
,00:01:14,100,,,,,,,,,
,00:01:15,100,,,,,,,,,
,00:01:16,101,,,,,,,,,
,00:01:17,101,,,,,,,,,
,00:01:18,102,,,,,,,,,
,00:01:19,102,,,,,,,,,
,00:01:20,102,,,,,,,,,
,00:01:21,102,,,,,,,,,
,00:01:22,102,,,,,,,,,
,00:01:23,102,,,,,,,,,
,00:01:24,102,,,,,,,,,
,00:01:25,102,,,,,,,,,
,00:01:26,103,,,,,,,,,
,00:01:27,103,,,,,,,,,
,00:01:28,104,,,,,,,,,
,00:01:29,105,,,,,,,,,
,00:01:30,105,,,,,,,,,
,00:01:31,105,,,,,,,,,
,00:01:32,105,,,,,,,,,
,00:01:33,105,,,,,,,,,
,00:01:34,105,,,,,,,,,
,00:01:35,104,,,,,,,,,
,00:01:36,103,,,,,,,,,
,00:01:37,103,,,,,,,,,
,00:01:38,102,,,,,,,,,
,00:01:39,102,,,,,,,,,
,00:01:40,101,,,,,,,,,
,00:01:41,100,,,,,,,,,
,00:01:42,99,,,,,,,,,
,00:01:43,99,,,,,,,,,
,00:01:44,98,,,,,,,,,
,00:01:45,97,,,,,,,,,
,00:01:46,98,,,,,,,,,
,00:01:47,99,,,,,,,,,
,00:01:48,100,,,,,,,,,
,00:01:49,102,,,,,,,,,
,00:01:50,103,,,,,,,,,
,00:01:51,104,,,,,,,,,
,00:01:52,106,,,,,,,,,
,00:01:53,107,,,,,,,,,
,00:01:54,108,,,,,,,,,
,00:01:55,108,,,,,,,,,
,00:01:56,109,,,,,,,,,
,00:01:57,110,,,,,,,,,
,00:01:58,112,,,,,,,,,
,00:01:59,114,,,,,,,,,
,00:02:00,116,,,,,,,,,
,00:02:01,117,,,,,,,,,
,00:02:02,123,,,,,,,,,
,00:02:03,127,,,,,,,,,
,00:02:04,130,,,,,,,,,
,00:02:05,134,,,,,,,,,
,00:02:06,136,,,,,,,,,
,00:02:07,136,,,,,,,,,
,00:02:08,136,,,,,,,,,
,00:02:09,137,,,,,,,,,
,00:02:10,138,,,,,,,,,
,00:02:11,139,,,,,,,,,
,00:02:12,140,,,,,,,,,
,00:02:13,142,,,,,,,,,
,00:02:14,143,,,,,,,,,
,00:02:15,144,,,,,,,,,
,00:02:16,145,,,,,,,,,
,00:02:17,146,,,,,,,,,
,00:02:18,147,,,,,,,,,
,00:02:19,147,,,,,,,,,
,00:02:20,147,,,,,,,,,
,00:02:21,148,,,,,,,,,
,00:02:22,149,,,,,,,,,
,00:02:23,149,,,,,,,,,
,00:02:24,150,,,,,,,,,
,00:02:25,151,,,,,,,,,
,00:02:26,152,,,,,,,,,
,00:02:27,153,,,,,,,,,
,00:02:28,155,,,,,,,,,
,00:02:29,155,,,,,,,,,
,00:02:30,156,,,,,,,,,
,00:02:31,157,,,,,,,,,
,00:02:32,158,,,,,,,,,
,00:02:33,159,,,,,,,,,
,00:02:34,160,,,,,,,,,
,00:02:35,161,,,,,,,,,
,00:02:36,162,,,,,,,,,
,00:02:37,163,,,,,,,,,
,00:02:38,163,,,,,,,,,
,00:02:39,164,,,,,,,,,
,00:02:40,164,,,,,,,,,
,00:02:41,165,,,,,,,,,
,00:02:42,165,,,,,,,,,
,00:02:43,165,,,,,,,,,
,00:02:44,166,,,,,,,,,
,00:02:45,166,,,,,,,,,
,00:02:46,166,,,,,,,,,
,00:02:47,167,,,,,,,,,
,00:02:48,167,,,,,,,,,
,00:02:49,168,,,,,,,,,
,00:02:50,168,,,,,,,,,
,00:02:51,168,,,,,,,,,
,00:02:52,168,,,,,,,,,
,00:02:53,168,,,,,,,,,
,00:02:54,168,,,,,,,,,
,00:02:55,168,,,,,,,,,
,00:02:56,168,,,,,,,,,
,00:02:57,168,,,,,,,,,
,00:02:58,168,,,,,,,,,
,00:02:59,168,,,,,,,,,
,00:03:00,168,,,,,,,,,
,00:03:01,169,,,,,,,,,
,00:03:02,169,,,,,,,,,
,00:03:03,169,,,,,,,,,
,00:03:04,169,,,,,,,,,
,00:03:05,169,,,,,,,,,
,00:03:06,169,,,,,,,,,
,00:03:07,169,,,,,,,,,
,00:03:08,170,,,,,,,,,
,00:03:09,170,,,,,,,,,
,00:03:10,171,,,,,,,,,
,00:03:11,171,,,,,,,,,
,00:03:12,171,,,,,,,,,
,00:03:13,171,,,,,,,,,
,00:03:14,171,,,,,,,,,
,00:03:15,171,,,,,,,,,
,00:03:16,172,,,,,,,,,
,00:03:17,172,,,,,,,,,
,00:03:18,172,,,,,,,,,
,00:03:19,173,,,,,,,,,
,00:03:20,173,,,,,,,,,
,00:03:21,173,,,,,,,,,
,00:03:22,173,,,,,,,,,
,00:03:23,173,,,,,,,,,
,00:03:24,173,,,,,,,,,
,00:03:25,173,,,,,,,,,
,00:03:26,173,,,,,,,,,
,00:03:27,173,,,,,,,,,
,00:03:28,173,,,,,,,,,
,00:03:29,173,,,,,,,,,
,00:03:30,174,,,,,,,,,
,00:03:31,174,,,,,,,,,
,00:03:32,174,,,,,,,,,
,00:03:33,174,,,,,,,,,
,00:03:34,174,,,,,,,,,
,00:03:35,175,,,,,,,,,
,00:03:36,174,,,,,,,,,
,00:03:37,174,,,,,,,,,
,00:03:38,174,,,,,,,,,
,00:03:39,174,,,,,,,,,
